date,SCE_INFL_1Y_MEDIAN,SCE_INFL_3Y_MEDIAN,SCE_INFL_5Y_MEDIAN
2016-10-01,2.588670492172241,2.582561731338501,
2016-11-01,2.537524938583374,2.711992979049683,
2016-12-01,2.812191009521484,2.831908464431763,
2017-01-01,2.980843782424927,2.895548105239868,
2017-02-01,2.961960077285767,2.980843782424927,
2017-03-01,2.736073732376099,2.711992979049683,
2017-04-01,2.793574810028076,2.908013105392456,
2017-05-01,2.588670492172241,2.467131614685059,
2017-06-01,2.53835129737854,2.775065183639526,
2017-07-01,2.537524938583374,2.711992979049683,
2017-08-01,2.490645408630371,2.623311042785645,
2017-09-01,2.537524938583374,2.804798603057861,
2017-10-01,2.613695859909058,2.812191009521484,
2017-11-01,2.606111288070679,2.775065183639526,
2017-12-01,2.824348211288452,2.8941650390625,
2018-01-01,2.711992979049683,2.793574810028076,
2018-02-01,2.831908464431763,2.884279727935791,
2018-03-01,2.752288341522217,2.908013105392456,
2018-04-01,2.980843782424927,2.96994686126709,
2018-05-01,2.980843782424927,2.961960077285767,
2018-06-01,2.980843782424927,3.0,
2018-07-01,2.98271656036377,2.883912086486816,
2018-08-01,3.0,3.0,
2018-09-01,2.995079278945923,3.0,
2018-10-01,3.0,3.0,
2018-11-01,2.96994686126709,2.883912086486816,
2018-12-01,3.0,2.980843782424927,
2019-01-01,2.96994686126709,2.96994686126709,
2019-02-01,2.793574810028076,2.768438577651978,
2019-03-01,2.816436529159546,2.864411115646362,
2019-04-01,2.598124265670776,2.693517684936523,
2019-05-01,2.453082084655762,2.593332052230835,
2019-06-01,2.670152187347412,2.662437438964844,
2019-07-01,2.590599060058594,2.579365491867065,
2019-08-01,2.414448499679565,2.501431941986084,
2019-09-01,2.483634471893311,2.374794006347656,
2019-10-01,2.330186128616333,2.378874778747559,
2019-11-01,2.34755277633667,2.521350860595703,
2019-12-01,2.52764368057251,2.537524938583374,
2020-01-01,2.495653867721558,2.537524938583374,
2020-02-01,2.537524938583374,2.588670492172241,
2020-03-01,2.537524938583374,2.399338960647583,
2020-04-01,2.623311042785645,2.623311042785645,
2020-05-01,3.0,2.610334873199463,
2020-06-01,2.681401968002319,2.473736047744751,
2020-07-01,2.887446165084839,2.73170280456543,
2020-08-01,3.0,2.980843782424927,
2020-09-01,2.980843782424927,2.742110729217529,
2020-10-01,2.83610200881958,2.702108144760132,
2020-11-01,2.9625084400177,2.819740056991577,
2020-12-01,3.0,2.980843782424927,
2021-01-01,3.046669483184814,3.028185844421387,
2021-02-01,3.090884447097778,3.0,
2021-03-01,3.244255781173706,3.092952489852905,
2021-04-01,3.360179662704468,3.098045349121094,
2021-05-01,4.0,3.569710254669189,
2021-06-01,4.801745414733887,3.546917915344238,
2021-07-01,4.842450618743896,3.711668968200684,
2021-08-01,5.179827213287354,3.999661684036255,
2021-09-01,5.310168743133545,4.193984985351562,
2021-10-01,5.653466701507568,4.211176872253418,
2021-11-01,6.0,4.011199951171875,
2021-12-01,5.990273952484131,4.0,
2022-01-01,5.788440227508545,3.477248191833496,3.0
2022-02-01,6.0,3.77480149269104,3.0
2022-03-01,6.583898067474365,3.674922943115234,3.015459299087524
2022-04-01,6.345437526702881,3.902375936508179,2.931790351867676
2022-05-01,6.576014995574951,3.879077434539795,2.850563526153564
2022-06-01,6.775854587554932,3.618484497070312,2.760701179504395
2022-07-01,6.223625659942627,3.182451486587524,2.347722768783569
2022-08-01,5.74571418762207,2.75526762008667,2.0
2022-09-01,5.440793991088867,2.909970998764038,2.237695217132568
2022-10-01,5.944291114807129,3.110663414001465,2.446318626403809
2022-11-01,5.228548526763916,2.997373819351196,2.322217702865601
2022-12-01,4.99346923828125,2.992784261703491,2.417507410049438
2023-01-01,4.954980373382568,2.711992979049683,2.453082084655762
2023-02-01,4.225454807281494,2.663482189178467,2.579365491867065
2023-03-01,4.747997283935547,2.781904935836792,2.537524938583374
2023-04-01,4.447037220001221,2.893647909164429,2.617150783538818
2023-05-01,4.067067623138428,2.980843782424927,2.742110729217529
2023-06-01,3.825441360473633,2.951963663101196,2.993139743804932
2023-07-01,3.546917915344238,2.905840873718262,2.876586437225342
2023-08-01,3.632116079330444,2.793574810028076,3.0
2023-09-01,3.673457145690918,3.0,2.838810205459595
2023-10-01,3.572417020797729,2.995079278945923,2.723074197769165
2023-11-01,3.358376502990723,3.0,2.683815240859985
2023-12-01,3.010266065597534,2.623311042785645,2.543853998184204
2024-01-01,3.0,2.350677490234375,2.537524938583374
2024-02-01,3.040385484695435,2.711992979049683,2.885851144790649
2024-03-01,3.0,2.895548105239868,2.62285304069519
2024-04-01,3.259793996810913,2.757096767425537,2.822743892669678
2024-05-01,3.171747922897339,2.760416269302368,3.0
2024-06-01,3.024008989334106,2.931790351867676,2.831908464431763
2024-07-01,2.97367000579834,2.330186128616333,2.805190086364746
2024-08-01,3.0,2.537524938583374,2.794509410858154
2024-09-01,3.0,2.663482189178467,2.857652425765991
2024-10-01,2.865548133850098,2.537524938583374,2.773648500442505
2024-11-01,2.96994686126709,2.570500612258911,2.86391019821167
2024-12-01,3.0,2.96994686126709,2.723074197769165
2025-01-01,3.0,2.993066549301147,2.980843782424927
2025-02-01,3.131242036819458,3.0,2.980843782424927
2025-03-01,3.580265522003174,3.0,2.856095314025879
2025-04-01,3.634883165359497,3.166463613510132,2.742110729217529
2025-05-01,3.196596622467041,3.0,2.613465547561646
2025-06-01,3.015459299087524,2.997373819351196,2.606416940689087
2025-07-01,3.090884447097778,3.0,2.87971019744873
2025-08-01,3.196596622467041,3.0,2.931790351867676
2025-09-01,3.37714695930481,3.046669483184814,2.969035863876343
2025-10-01,3.235308408737183,3.0,3.0
2025-11-01,3.196596622467041,3.0,2.980843782424927
2025-12-01,3.416846036911011,3.0,2.980843782424927
2026-01-01,3.08764123916626,2.980843782424927,3.0
2026-02-01,3.0,2.998202562332153,2.980843782424927
2026-03-01,3.417398452758789,3.079425573348999,3.046669483184814
2026-04-01,3.636756896972656,3.149212121963501,3.008733987808228
2026-05-01,3.462475061416626,3.130484104156494,3.015459299087524
2026-06-01,3.673457145690918,3.336173057556152,3.0
2026-07-01,3.632116079330444,3.261532068252563,3.015459299087524
