date,VIX1D,OVX,VIX9D,VIX,VIX3M,VIX6M,VIX1Y,SKEW,VIX_TERM_SLOPE
1990-12-28,,,,25.05,,,,127.59,
1990-12-31,,,,26.38,,,,126.57,
1991-01-02,,,,26.62,,,,121.35,
1991-01-03,,,,27.93,,,,122.76,
1991-01-04,,,,27.19,,,,121.95,
1991-01-07,,,,28.95,,,,118.12,
1991-01-08,,,,30.38,,,,116.76,
1991-01-09,,,,33.3,,,,114.26,
1991-01-10,,,,31.33,,,,117.28,
1991-01-11,,,,32.63,,,,114.58,
1991-01-14,,,,36.2,,,,112.38,
1991-01-15,,,,36.16,,,,112.71,
1991-01-16,,,,33.2,,,,115.85,
1991-01-17,,,,27.45,,,,121.72,
1991-01-18,,,,25.39,,,,125.61,
1991-01-21,,,,24.33,,,,122.41,
1991-01-22,,,,24.9,,,,117.94,
1991-01-23,,,,23.92,,,,118.15,
1991-01-24,,,,22.86,,,,121.9,
1991-01-25,,,,22.2,,,,124.2,
1991-01-28,,,,23.05,,,,122.91,
1991-01-29,,,,23.17,,,,122.53,
1991-01-30,,,,21.37,,,,127.44,
1991-01-31,,,,20.91,,,,121.65,
1991-02-01,,,,21.04,,,,121.25,
1991-02-04,,,,21.86,,,,123.21,
1991-02-05,,,,21.46,,,,123.92,
1991-02-06,,,,22.68,,,,121.1,
1991-02-07,,,,23.6,,,,121.24,
1991-02-08,,,,23.38,,,,121.05,
1991-02-11,,,,22.56,,,,121.53,
1991-02-12,,,,22.26,,,,121.19,
1991-02-13,,,,20.86,,,,123.69,
1991-02-14,,,,21.48,,,,120.58,
1991-02-15,,,,19.57,,,,118.94,
1991-02-19,,,,19.84,,,,112.38,
1991-02-20,,,,22.26,,,,114.96,
1991-02-21,,,,20.78,,,,113.82,
1991-02-22,,,,21.01,,,,114.92,
1991-02-25,,,,22.86,,,,114.76,
1991-02-26,,,,20.38,,,,108.57,
1991-02-27,,,,21.26,,,,117.38,
1991-02-28,,,,21.23,,,,116.37,
1991-03-01,,,,,,,,116.36,
1991-03-04,,,,20.86,,,,117.93,
1991-03-05,,,,20.45,,,,122.89,
1991-03-06,,,,20.55,,,,119.4,
1991-03-07,,,,21.05,,,,118.56,
1991-03-08,,,,20.81,,,,118.51,
1991-03-11,,,,20.88,,,,123.92,
1991-03-12,,,,18.82,,,,125.66,
1991-03-13,,,,16.09,,,,131.94,
1991-03-14,,,,14.94,,,,101.79,
1991-03-15,,,,14.9,,,,102.73,
1991-03-18,,,,15.79,,,,103.53,
1991-03-19,,,,16.11,,,,101.23,
1991-03-20,,,,16.04,,,,102.81,
1991-03-21,,,,16.86,,,,101.31,
1991-03-22,,,,16.49,,,,103.4,
1991-03-25,,,,16.76,,,,104.07,
1991-03-26,,,,16.31,,,,106.65,
1991-03-27,,,,16.55,,,,103.53,
1991-03-28,,,,16.88,,,,105.67,
1991-04-01,,,,17.42,,,,105.75,
1991-04-02,,,,17.4,,,,109.35,
1991-04-03,,,,17.61,,,,108.82,
1991-04-04,,,,18.01,,,,109.35,
1991-04-05,,,,17.63,,,,108.51,
1991-04-08,,,,17.41,,,,104.12,
1991-04-09,,,,20.12,,,,109.05,
1991-04-10,,,,19.73,,,,109.56,
1991-04-11,,,,17.24,,,,105.74,
1991-04-12,,,,18.45,,,,116.64,
1991-04-15,,,,16.5,,,,118.66,
1991-04-16,,,,15.82,,,,122.71,
1991-04-17,,,,15.47,,,,123.42,
1991-04-18,,,,16.26,,,,106.57,
1991-04-19,,,,15.68,,,,105.7,
1991-04-22,,,,16.78,,,,105.82,
1991-04-23,,,,17.02,,,,106.68,
1991-04-24,,,,16.72,,,,107.09,
1991-04-25,,,,17.15,,,,107.9,
1991-04-26,,,,17.27,,,,108.51,
1991-04-29,,,,18.27,,,,108.57,
1991-04-30,,,,18.24,,,,109.06,
1991-05-01,,,,17.77,,,,110.9,
1991-05-02,,,,17.52,,,,111.43,
1991-05-03,,,,17.24,,,,110.58,
1991-05-06,,,,17.92,,,,112.86,
1991-05-07,,,,17.46,,,,111.53,
